;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Budget Line #;;Activity ID;Module;Intervention;Activity;Cost input;UNDP Budget account;Measurement unit;Unit cost;Q1 quantity; Q1 amount ;Q2 quantity; Q2 amount ;Q3 quantity; Q3 amount ;Q4 quantity; Q4 amount ; Amount Total ;;;;;
1;;23;Control de vectores;Mosquiteros tratados con insecticida (MTI) - campaña a gran escala: universal;1.1.1 Coordinación, planificación y presupuestación, adquisición y logística para la distribución de mosquiteros impregnados con insecticidas de larga duración (TMILD) con una participación significativa de las comunidades ;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;71610;USD;3.920,95;0,00; -   ;1,00; 3.920,95 ;0,00; -   ;0,00; -   ; 3.920,95 ;;;;;
2;;23;Control de vectores;Mosquiteros tratados con insecticida (MTI) - campaña a gran escala: universal;1.1.1 Coordinación, planificación y presupuestación, adquisición y logística para la distribución de mosquiteros impregnados con insecticidas de larga duración (TMILD) con una participación significativa de las comunidades ;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;71620;USD;4.175,98;0,00; -   ;1,00; 4.175,98 ;0,00; -   ;0,00; -   ; 4.175,98 ;;;;;
3;;23;Control de vectores;Mosquiteros tratados con insecticida (MTI) - campaña a gran escala: universal;1.1.1 Coordinación, planificación y presupuestación, adquisición y logística para la distribución de mosquiteros impregnados con insecticidas de larga duración (TMILD) con una participación significativa de las comunidades ;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;75705;USD;809,57;0,00; -   ;1,00; 809,57 ;0,00; -   ;0,00; -   ; 809,57 ;;;;;
4;;24;Control de vectores;Mosquiteros tratados con insecticida (MTI) - distribución continua: en la comunidad;1.3.4 Distribución e implementación masiva y regular de TMILD para habitantes permanentes en comunidades rurales priorizados de 18 municipios (no se incluye a Cobija) cada dos años ;9.3 Otro equipamiento no sanitario;74725;USD;51.833,81;0,00; -   ;0,50; 25.916,91 ;0,50; 25.916,91 ;0,00; -   ; 51.833,81 ;;;;;
5;;25;Control de vectores;Mosquiteros tratados con insecticida (MTI) - distribución continua: en la comunidad;Coordinación, planificación y presupuestación, adquisición y logística para la distribución de mosquiteros impregnados con insecticidas de larga duración (TMILD) con una participación significativa de las comunidades;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;71610;USD;5.260,55;0,00; -   ;0,00; -   ;1,00; 5.260,55 ;0,00; -   ; 5.260,55 ;;;;;
6;;25;Control de vectores;Mosquiteros tratados con insecticida (MTI) - distribución continua: en la comunidad;Coordinación, planificación y presupuestación, adquisición y logística para la distribución de mosquiteros impregnados con insecticidas de larga duración (TMILD) con una participación significativa de las comunidades;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;71620;USD;9.443,37;0,00; -   ;0,00; -   ;1,00; 9.443,37 ;0,00; -   ; 9.443,37 ;;;;;
7;;25;Control de vectores;Mosquiteros tratados con insecticida (MTI) - distribución continua: en la comunidad;Coordinación, planificación y presupuestación, adquisición y logística para la distribución de mosquiteros impregnados con insecticidas de larga duración (TMILD) con una participación significativa de las comunidades;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;75705;USD;1.431,88;0,00; -   ;0,00; -   ;1,00; 1.431,88 ;0,00; -   ; 1.431,88 ;;;;;
8;;30;Gestión de casos;Gestión integrada de casos comunitarios;Coordinación para la integración de los CV al Sistema de Salud Local (SSL) ;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;71620;USD;54.424,18;0,00; -   ;0,33; 18.141,39 ;0,33; 18.141,39 ;0,33; 18.141,39 ; 54.424,18 ;;;;;
9;;30;Gestión de casos;Gestión integrada de casos comunitarios;Coordinación para la integración de los CV al Sistema de Salud Local (SSL) ;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;74725;USD;2.185,40;0,00; -   ;0,33; 728,47 ;0,33; 728,47 ;0,33; 728,47 ; 2.185,40 ;;;;;
10;;30;Gestión de casos;Gestión integrada de casos comunitarios;Coordinación para la integración de los CV al Sistema de Salud Local (SSL) ;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;72311;USD;2.354,86;0,00; -   ;0,33; 784,95 ;0,33; 784,95 ;0,33; 784,95 ; 2.354,86 ;;;;;
11;;32;Gestión de casos;Gestión integrada de casos comunitarios;Talleres de capacitación en malaria y certificación de colaboradores voluntarios, basados en la Guía del CV actualizada;2.1 Viáticos, transporte y otros costos relacionados con capacitaciones;71610;USD;6.946,42;0,00; -   ;0,00; -   ;1,00; 6.946,42 ;0,00; -   ; 6.946,42 ;;;;;
